Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #632906882,Running,--,"Tue, Apr 2, 2013 20:33",32:11,6.50,--,4:55,--,--,--,398,--,--,--,--,--,--,--,
false,Nike+ activity #650013986,Running,--,"Wed, Apr 3, 2013 19:09",33:48,6.04,--,--,--,--,--,369,--,--,--,--,--,--,--,
false,Nike+ activity #848537384,Running,--,"Wed, Apr 3, 2013 20:33",39:07,7.96,--,--,--,--,--,486,--,--,--,--,--,--,--,
false,Nike+ activity #870618639,Running,--,"Thu, Apr 4, 2013 20:31",31:28,6.94,--,--,--,--,--,424,--,--,--,--,--,--,--,
false,Nike+ activity #871017705,Running,--,"Thu, Apr 4, 2013 21:08",11:07,1.76,--,6:19,--,--,--,107,--,--,--,--,--,--,--,
false,Nike+ activity #694027489,Running,--,"Fri, Apr 5, 2013 17:26",24:30,5.13,--,4:41,--,--,--,314,--,--,--,--,--,--,--,
false,Nike+ activity #693196438,Running,--,"Fri, Apr 5, 2013 17:52",12:20,2.23,--,--,--,--,--,136,--,--,--,--,--,--,--,
false,Nike+ activity #890574936,Running,--,"Fri, Apr 5, 2013 20:33",58:00,12.12,--,4:48,--,--,--,741,--,--,--,--,--,--,--,
false,Nike+ activity #2001549656,Running,--,"Sat, Apr 6, 2013 19:39",41:02,9.07,--,--,--,--,--,555,--,--,--,--,--,--,--,
false,Nike+ activity #20826563000,Running,--,"Sat, Apr 6, 2013 19:53",20:32,5.05,--,--,--,--,--,309,--,--,--,--,--,--,--,
false,Nike+ activity #2001554208,Running,--,"Sat, Apr 6, 2013 20:23",10:47,1.92,--,5:36,--,--,--,117,--,--,--,--,--,--,--,
false,Nike+ activity #2013001701,Running,--,"Sun, Apr 7, 2013 20:57",29:09,7.02,--,--,--,--,--,429,--,--,--,--,--,--,--,
false,Nike+ activity #37988758000,Running,--,"Sun, Apr 7, 2013 21:13",20:01,4.91,--,4:05,--,--,--,300,--,--,--,--,--,--,--,
false,Nike+ activity #2013003506,Running,--,"Sun, Apr 7, 2013 21:29",9:18,1.90,--,4:53,--,--,--,116,--,--,--,--,--,--,--,
false,Nike+ activity #42492770961,Running,--,"Mon, Apr 8, 2013 12:11",35:33,8.31,--,--,--,--,--,508,--,--,--,--,--,--,--,
false,Nike+ activity #736075601,Running,--,"Mon, Apr 8, 2013 20:00",36:47,8.20,--,4:29,--,--,--,501,--,--,--,--,--,--,--,
false,Nike+ activity #2040754551,Running,--,"Tue, Apr 9, 2013 16:51",49:23,10.15,--,4:50,--,--,--,621,--,--,--,--,--,--,--,
false,Nike+ activity #2040751695,Running,--,"Tue, Apr 9, 2013 17:59",2:02,0.36,--,--,--,--,--,22,--,--,--,--,--,--,--,
false,Nike+ activity #784449592,Running,--,"Thu, Apr 11, 2013 20:17",31:22,5.97,--,5:16,--,--,--,365,--,--,--,--,--,--,--,
false,Nike+ activity #784543484,Running,--,"Thu, Apr 11, 2013 21:13",26:19,2.86,--,9:14,--,--,--,175,--,--,--,--,--,--,--,
false,Nike+ activity #2132303053,Running,--,"Sat, Apr 13, 2013 15:14",20:10,4.21,--,4:48,--,--,--,257,--,--,--,--,--,--,--,
false,Nike+ activity #2132303054,Running,--,"Sun, Apr 14, 2013 11:51",35:21,6.39,--,5:33,--,--,--,391,--,--,--,--,--,--,--,
false,Nike+ activity #2132291883,Running,--,"Sat, Apr 20, 2013 16:12",24:08,5.12,--,4:43,--,--,--,313,--,--,--,--,--,--,--,
false,Nike+ activity #2132294538,Running,--,"Sat, Apr 20, 2013 16:44",12:44,2.49,--,5:08,--,--,--,152,--,--,--,--,--,--,--,
false,Nike+ activity #2132886679,Running,--,"Sun, Apr 21, 2013 14:04",18:46,3.82,--,4:55,--,--,--,234,--,--,--,--,--,--,--,
