Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
true,Footing 60',Running,--,"Sun, Jun 28, 2015 11:39",1:02:24,12.12,27,5:09,1:33,--,--,763,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jun 27, 2015 20:00",5:39,0.79,--,7:11,11:26,--,--,50,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jun 27, 2015 19:31",29:14,6.02,1,4:52,2:59,--,--,386,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Wed, Jun 24, 2015 21:09",30:02,6.24,1,4:49,3:17,--,--,399,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jun 21, 2015 18:56",6:44,1.00,--,6:42,2:32,--,--,67,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jun 21, 2015 18:35",18:21,4.03,1,4:33,3:14,--,--,259,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jun 20, 2015 15:05",31:07,5.23,2,5:57,4:49,--,--,331,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Fri, Jun 19, 2015 21:20",29:23,6.01,2,4:53,2:22,--,--,381,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Mon, Jun 15, 2015 21:12",29:00,6.01,5,4:49,2:32,--,--,380,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jun 14, 2015 19:25",32:36,6.38,4,5:07,3:12,--,--,415,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jun 14, 2015 11:02",30:10,4.57,3,6:36,4:43,--,--,299,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jun 13, 2015 18:25",33:50,7.28,2,4:39,:36,--,--,462,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Wed, Jun 10, 2015 21:17",26:28,5.43,1,4:52,3:53,--,--,347,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Mon, Jun 8, 2015 21:35",2:58,0.46,--,6:30,:22,--,--,27,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jun 7, 2015 16:51",31:30,6.01,2,5:14,:45,--,--,381,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jun 7, 2015 16:26",24:28,5.02,2,4:52,2:20,--,--,324,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jun 6, 2015 17:36",8:31,1.45,3,5:51,5:11,--,--,91,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jun 6, 2015 17:07",26:54,4.98,--,5:24,1:34,--,--,322,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Wed, Jun 3, 2015 21:05",24:28,5.17,3,4:44,2:51,--,--,329,--,--,--,--,--,--,
