"date","types","activities","heartRateStressScore","powerStressScore","runningStressScore","swimStressScore","finalStressScore","ctl","atl","tsb","zone","athleteSettings"
"2009-05-28","","","","","",,"",0,0,0,"Neutral",""
"2009-05-29","Run","Nike+ activity #345953398","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-05-30","","","","","",,"",0,0,0,"Neutral",""
"2009-05-31","Run","Nike+ activity #346620731","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-01","","","","","",,"",0,0,0,"Neutral",""
"2009-06-02","","","","","",,"",0,0,0,"Neutral",""
"2009-06-03","Run","Nike+ activity #350500389","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-04","Run","Nike+ activity #351803532","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-05","","","","","",,"",0,0,0,"Neutral",""
"2009-06-06","","","","","",,"",0,0,0,"Neutral",""
"2009-06-07","","","","","",,"",0,0,0,"Neutral",""
"2009-06-08","","","","","",,"",0,0,0,"Neutral",""
"2009-06-09","","","","","",,"",0,0,0,"Neutral",""
"2009-06-10","","","","","",,"",0,0,0,"Neutral",""
"2009-06-11","Run","Nike+ activity #351633749","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-12","Run; Run","Nike+ activity #351937941; Nike+ activity #351237836","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-13","","","","","",,"",0,0,0,"Neutral",""
"2009-06-14","Run","Nike+ activity #350844861","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-15","","","","","",,"",0,0,0,"Neutral",""
"2009-06-16","","","","","",,"",0,0,0,"Neutral",""
"2009-06-17","","","","","",,"",0,0,0,"Neutral",""
"2009-06-18","","","","","",,"",0,0,0,"Neutral",""
"2009-06-19","","","","","",,"",0,0,0,"Neutral",""
"2009-06-20","","","","","",,"",0,0,0,"Neutral",""
"2009-06-21","","","","","",,"",0,0,0,"Neutral",""
"2009-06-22","Run","Nike+ activity #355116437","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-23","","","","","",,"",0,0,0,"Neutral",""
"2009-06-24","","","","","",,"",0,0,0,"Neutral",""
"2009-06-25","","","","","",,"",0,0,0,"Neutral",""
"2009-06-26","","","","","",,"",0,0,0,"Neutral",""
"2009-06-27","Run","Nike+ activity #360017654","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-06-28","","","","","",,"",0,0,0,"Neutral",""
"2009-06-29","","","","","",,"",0,0,0,"Neutral",""
"2009-06-30","Run","Nike+ activity #364604553","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-07-01","","","","","",,"",0,0,0,"Neutral",""
"2009-07-02","Run; Run","Nike+ activity #365714936; Nike+ activity #365410785","","","",,"",0,0,0,"Neutral","Weight 62kg."
"2009-07-03","","","","","",,"",0,0,0,"Neutral",""
"2009-07-04","","","","","",,"",0,0,0,"Neutral",""
"2009-07-05","","","","","",,"",0,0,0,"Neutral",""
